cultivar_name,cultivar
Zinfandel,1
Merlot,2
Syrah,3
Sangiovese,4
Pinot Noir,5
Pinot Blanc,6
Cabernet sauvignon,7
Chardonnay,8
Sauvignon Blanc,9
